,ini_speed,angles,x_range,max_height,time_flight
85,6,24,3.1971792235731056,0.5994123413664857,0.5974881028554493
86,6,25,3.2573026770090667,0.6230929710865709,0.6139071643304123
87,6,26,3.314901233027563,0.6474615666900694,0.6303088402627537
88,6,27,3.369839095125933,0.6724880115744862,0.6466785545940897
89,6,28,3.421988207739597,0.6981414678402535,0.6630024167828554
90,6,29,3.471228102283907,0.7243904241920534,0.6792671858459043
91,6,30,3.5174457354246216,0.7512027250513117,0.6954602343474472
92,6,31,3.560535324246441,0.7785456091503996,0.7115695142368176
93,6,32,3.6003981818395134,0.8063857468535287,0.727583517783422
94,6,33,3.6369425558888087,0.8346892778713892,0.7434912510660894
95,6,34,3.6700835109129732,0.8634218493392043,0.7592821984708631
96,6,35,3.699742633443375,0.8925486542285863,0.7749462939232
97,6,36,3.725848091163611,0.9220344700641969,0.7904738929491539
98,6,37,3.7483343692461957,0.9518436979168021,0.8058557465380084
99,6,38,3.7671421853140172,0.9819404016448925,0.8210829798943519
100,6,39,3.782218316735962,1.012288347357507,0.8361470583911669
101,6,40,3.7935155576498736,1.0428510430714042,0.8510397825541511
102,6,41,3.8009925666013524,1.0735917785360771,0.8657532587727015
103,6,42,3.804613775883163,1.10447366520051,0.8802798837952337
104,6,43,3.8043492963318504,1.135459676295853,0.8946123283092501
105,6,44,3.8001748276622886,1.1665126870084273,0.9087435218539545
106,6,45,3.7920715738650417,1.1975955147176744,0.92266663897718
107,6,46,3.780026163189296,1.2286709592737781,0.9363750886334564
108,6,47,3.7640305722397103,1.2597018515007081,0.9498624948411843
109,6,48,3.744082053726241,1.2906510631664967,0.9631226969352956
110,6,49,3.720183067420353,1.321481589619048,0.9761497330630347
111,6,50,3.6923412708470154,1.352156563470958,0.9889378329648586
112,6,51,3.660569241172164,1.3826393009536113,1.0014814099332088
113,6,52,3.6248847308269077,1.4128933419129985,1.013775057493089
114,7,15,3.2515249047549952,0.4652763648089793,0.49255517818463757
115,7,16,3.358249250404308,0.4873121824013682,0.5116141188129109
116,7,17,3.4636011251377288,0.5105892527486288,0.5308365415225872
117,7,18,3.567281592609179,0.5350770027230907,0.5501940661385318
118,7,19,3.6690061677490684,0.5607435403916251,0.5696598035982952
119,7,20,3.7685048922105087,0.5875556966417754,0.5892083402364775
120,7,21,3.8655222129929814,0.6154790676783523,0.6088156983963398
121,7,22,3.9598167318949846,0.6444780583380956,0.6284592825573757
122,7,23,4.0511607945421515,0.6745159261719145,0.6481178043421864
123,7,24,4.139340130811105,0.7055548262461036,0.667771219672794
124,7,25,4.224153351754758,0.7375558590697826,0.6874006453920445
125,7,26,4.305411481141988,0.7704791080053999,0.7069882835257125
126,7,27,4.3829374769498815,0.8042836977479959,0.7265173453470529
127,7,28,4.456565763113999,0.838927834373016,0.7459719790244919
128,7,29,4.526141778954017,0.8743688547353072,0.7653371964515197
129,7,30,4.591521579575399,0.9105632746775543,0.7845988122116828
130,7,31,4.652571328472863,0.9474668376703876,0.8037433792687609
131,7,32,4.709167066876816,0.9850345638498217,0.822758132652936
132,7,33,4.7611942740138815,1.0232207994191875,0.8416309368412525
133,7,34,4.808547565673015,1.061979266384154,0.8603502373786363
134,7,35,4.851130397046655,1.1012631125907517,0.878905016547041
135,7,36,4.888854806715813,1.1410249620376183,0.8972847560809604
136,7,37,4.921641104218416,1.1812169654347826,0.9154793884009003
137,7,38,4.949417727859277,1.2217908509824325,0.9334792794213544
138,7,39,4.972120981070823,1.2626979753440355,0.9512751877588171
139,7,40,4.9896948536218915,1.3038893747890754,0.968858239376036
140,7,41,5.002090846480229,1.3453158164814085,0.9862199024032489
141,7,42,5.009267811592015,1.3869278498899031,1.0033519657588015
142,7,43,5.011191805185639,1.4286758582985897,1.0202465131462042
143,7,44,5.007835953295847,1.4705101188294356,1.0368959117722822
144,7,45,4.9991803282943685,1.512380823065667,1.0532927907631289
145,7,46,4.985211890105132,1.554238171976358,1.0694300269397976
146,7,47,4.965924176618035,1.5960324006395712,1.0853007309740859
147,7,48,4.9413174958451584,1.6377138362730217,1.1008982348852607
148,7,49,4.911398670950313,1.6792329498918503,1.1162160847954998
149,7,50,4.87618093628814,1.720540407914972,1.13124801580157
150,7,51,4.835683948501524,1.7615871236980118,1.145987963788129
151,7,52,4.789933656642198,1.8023243089705263,1.1604300440550317
152,8,15,4.010604553501744,0.5150818227137565,0.5345845693360063
153,8,16,4.1536703829148,0.5437034043651545,0.5569580009596156
154,8,17,4.294748079418279,0.573927587101789,0.5794985659748727
155,8,18,4.43343687519086,0.6057138635091178,0.6021715786919319
156,8,19,4.569360761199594,0.6390200884133184,0.6249447133348424
157,8,20,4.702167645624551,0.6738025341684605,0.647787885305684
158,8,21,4.831528286704327,0.7100159467334672,0.6706731070117539
159,8,22,4.957135224166172,0.7476136024755051,0.6935743478476409
160,8,23,5.078701592983489,0.7865473678573696,0.7164673801436368
161,8,24,5.195959986721033,0.8267677497611627,0.7393296335706775
162,8,25,5.308661352169673,0.8682239645724605,0.7621400545424853
163,8,26,5.416573941032555,0.9108639910116971,0.7848789745072445
164,8,27,5.519482352692658,0.9546346312050744,0.8075279835077535
165,8,28,5.617186541358979,0.9994815707254232,0.8300698205477125
166,8,29,5.709501099043357,1.0453494390145577,0.852488266866415
167,8,30,5.796254421669488,1.0921818701502792,0.8747680517167573
168,8,31,5.877288033646945,1.1399215639239522,0.8968947664313778
169,8,32,5.952455960760648,1.1885103471971687,0.9188547867962059
170,8,33,6.021624163568198,1.2378892355085347,0.9406352031027228
171,8,34,6.084670047102514,1.2879984949038563,0.9622237606636413
172,8,35,6.141481925005134,1.3387777039652209,0.9836087908017128
173,8,36,6.191958710744963,1.390165816016437,1.004779177455237
174,8,37,6.236009479942231,1.442101221484102,1.025724300960891
175,8,38,6.273553151126519,1.4945218103952853,1.046433999795677
176,8,39,6.304518185036956,1.5473650349942458,1.0668985340303958
177,8,40,6.32884231437749,1.600567972461971,1.0871085541919563
178,8,41,6.346472300912322,1.6540673956252305,1.1070550659493783
179,8,42,6.357363764407877,1.7077998069250526,1.1267294120750304
180,8,43,6.361480810541647,1.7617015415177024,1.1461232436842297
181,8,44,6.3587961008640335,1.8157088053077237,1.1652285002891565
182,8,45,6.349290539123504,1.8697577438383153,1.1840373908288953
183,8,46,6.332953164652855,1.9237845053527336,1.2025423766641135
184,8,47,6.309781049186329,1.9777253038701221,1.2207361616118069
185,8,48,6.279779084395714,2.0315164822643204,1.2386116587780622
186,8,49,6.242960012218,2.085094575334048,1.2561620056764955
187,8,50,6.199344244898399,2.138396372852484,1.2733805361920474
188,8,51,6.148959799221526,2.191358982583808,1.290260774869623
189,8,52,6.091842218561819,2.2439198932534885,1.3067964282263405
190,9,15,4.844664488323471,0.5710937139134382,0.5775583518997185
191,9,16,5.028657790750213,0.6070921195650429,0.6032620006985285
192,9,17,5.209828877639602,0.645092736075746,0.6291261947458994
193,9,18,5.387672061691498,0.6850435261055551,0.6551106677795777
194,9,19,5.561719250544727,0.7268904992021723,0.6811784428689331
195,9,20,5.731537485828006,0.7705777825292229,0.7072955612523788
196,9,21,5.896726561452206,0.8160476921265818,0.7334308233912141
197,9,22,6.05691660908943,0.8632408074507736,0.7595555258573544
198,9,23,6.211765853085224,0.9120960337095796,0.7856432183172918
199,9,24,6.36095851333093,0.9625506874533465,0.8116694777791508
200,9,25,6.504202903960901,1.0145405614238596,0.8376116986889351
201,9,26,6.641229596208853,1.067999999378797,0.863448908355388
202,9,27,6.771789957043869,1.1228619693069055,0.8891615955637758
203,9,28,6.895654657994371,1.1790581368086264,0.9147315594867605
204,9,29,7.0126124235895855,1.23651893860929,0.9401417744822719
205,9,30,7.122468900112708,1.2951736561762293,0.9653762698331251
206,9,31,7.225045648635699,1.354950489415129,0.9904200229816404
207,9,32,7.320179274224144,1.4157766304246302,1.015258868446638
208,9,33,7.407720541699114,1.4775783372917453,1.039879400938225
209,9,34,7.487533792567496,1.5402810079137734,1.064268918979357
210,9,35,7.559496241795239,1.6038092538354713,1.088415347997995
211,9,36,7.6234974390034695,1.6680869740928803,1.1123071845770105
212,9,37,7.679438774226733,1.7330374290577208,1.1359334460459314
213,9,38,7.727233039034327,1.7985833210637738,1.159283619801874
214,9,39,7.766804085704028,1.8646468435701888,1.18234762921103
215,9,40,7.798086300565921,1.931149789105455,1.20511579329423
216,9,41,7.821024549211655,1.9980136019804207,1.227578795510152
217,9,42,7.835573746211903,2.0651594570626854,1.2497276551226595
218,9,43,7.841698650596906,2.132508333618079,1.2715537017102674
219,9,44,7.839373680552081,2.199981089161457,1.2930485575265998
220,9,45,7.828582617495549,2.2674985333220943,1.314204098608479
221,9,46,7.80931858842582,2.334981501729371,1.3350124628095281
222,9,47,7.78158382501763,2.4023509299245167,1.3554660174785929
223,9,48,7.745389556423458,2.4695279273040613,1.3755573489958952
224,9,49,7.700755896069096,2.536433851100306,1.3952792500583542
225,9,50,7.647711742952292,2.602990380403504,1.4146247105633782
226,9,51,7.586294695994553,2.6691195902296903,1.4335868995356564
227,9,52,7.516550980131178,2.7347440256369904,1.4521591675514696
228,10,15,5.751458818888004,0.6331590353954188,0.6212580749207497
229,10,16,5.980461536070064,0.6772953543805511,0.6502834829858707
230,10,17,6.205568158913485,0.723868503332584,0.6794537416627503
231,10,18,6.426171011430183,0.7728132558333773,0.7087239104019794
232,10,19,6.641714596503473,0.8240621362351406,0.7380532436025411
233,10,20,6.851691083785117,0.8775455093809816,0.767404762401909
234,10,21,7.055635959868507,0.9331916608310584,0.7967448399705461
235,10,22,7.253124076808954,0.9909268942975562,0.8260428261414104
236,10,23,7.44376608683001,1.0506756133437647,0.8552707076649018
